id,author,timestamp,text,url,favoriteCount,retweetCount,replyCount,viewCount,injury_severity
1.948172166748603e+18,ChrisBHaynes,Thu Jul 24 00:03:34 +0000 2025,Sources: Alijah Arenas is expected to be sidelined for at least 6-8 months. Brutal news for the kid and the program.,https://x.com/ChrisBHaynes/status/1948172166748602841,,171.0,28.0,272050.0,out_for_season
1.9521514909547727e+18,MarcJSpears,Sun Aug 03 23:35:59 +0000 2025,RT @pagsceltics: Here’s an important update on our possible acquisition of the Connecticut Sun. https://t.co/GA1Q2tqwNP,https://x.com/MarcJSpears/status/1952151490954772716,,106.0,22.0,121898.0,unconfirmed
1.9499924903684713e+18,InStreetClothes,Tue Jul 29 00:36:53 +0000 2025,Interested to hear more about Tyler Guyton’s leg fracture. A tibial plateau fracture seems possible. Cowboys faced a similar scenario with Anthony Hitchens in 2017 when an ACL tear was feared but a tibial plateau fracture was diagnosed. Dez Bryant also suffered a tibial plateau in 2016.,https://x.com/InStreetClothes/status/1949992490368471411,,1.0,,2985.0,out_for_season
1.9499861270807596e+18,InStreetClothes,Tue Jul 29 00:11:36 +0000 2025,"RT @AdamSchefter: Cowboys LT Tyler Guyton's ACL is intact after a MRI, per @toddarcher. He has a bone fracture that will not require surger…",https://x.com/InStreetClothes/status/1949986127080759436,,678.0,265.0,1622743.0,out_for_season
1.9462915982930988e+18,InStreetClothes,Fri Jul 18 19:30:52 +0000 2025,Derik Queen Injury News: The NOP rookie becomes the second player to undergo surgery to fix a scapholunate ligament tear following OKC's Jalen Williams procedure earlier this month. The lengthy recovery is likely to spill over into training camp/preseason.,https://x.com/InStreetClothes/status/1946291598293098670,,1.0,,2644.0,out_for_season
1.9451860588213169e+18,InStreetClothes,Tue Jul 15 18:17:50 +0000 2025,"Not ideal but w/ the spurs removed, Lively should be able to proceed without any associated symptoms lingering. Other players to undergo foot surgery for bone spurs include Kyle Korver & Guerschon Yabusele. Mavs great Dirk Nowitzki underwent an ankle debridement for bone spurs late in his career",https://x.com/InStreetClothes/status/1945186058821316876,,1.0,,5401.0,out_for_season
1.9448940675545743e+18,InStreetClothes,Mon Jul 14 22:57:34 +0000 2025,Dr. Glashow also performed Embiid’s recent surgery. Has previously worked on Victor Oladipo and Jason Richardson.,https://x.com/InStreetClothes/status/1944894067554574381,,,1.0,4742.0,out_for_season
1.944893743045243e+18,InStreetClothes,Mon Jul 14 22:56:17 +0000 2025,RT @davidaldridgedc: 76ers announce Paul George underwent surgery on his left knee Monday: https://t.co/wTBIgW9ImO,https://x.com/InStreetClothes/status/1944893743045242902,,5.0,9.0,41085.0,out_for_season
1.9426486133034516e+18,InStreetClothes,Tue Jul 08 18:14:56 +0000 2025,"Anthony Davis Injury News: The retina is the light-sensitive layer of nerve tissue located at the back of the eye that helps focus and relay information to the brain, which then helps form an individual's vision. The retina can be ""bruised"". tear, or become detached.",https://x.com/InStreetClothes/status/1942648613303451654,,1.0,1.0,3053.0,minor
1.9426486144692188e+18,InStreetClothes,Tue Jul 08 18:14:57 +0000 2025,"Multiple NBA players have suffered retina injuries, including Dirk Nowitzki who bruised his right retina in 2006. Players to endure retina tears or detached retinas include Matt Barnes, DJ Mbenga, &amp;, most famously, Amar'e Stoudemire. Fortunately surgery has a high success rate.",https://x.com/InStreetClothes/status/1942648614469218747,,2.0,2.0,1973.0,out_for_season
1.9542228122116099e+18,twithersCLE,Sat Aug 09 16:46:40 +0000 2025,Longest ride since surgery. We need more bike lanes on west side. https://t.co/apeJz4EQJl,https://x.com/twithersCLE/status/1954222812211609868,,,6.0,5599.0,out_for_season
1.940443632001237e+18,ChrisBHaynes,Wed Jul 02 16:13:08 +0000 2025,"Jaren Jackson Jr. underwent surgery and will be re-evaluated in 12 weeks, team says.",https://x.com/ChrisBHaynes/status/1940443632001237006,,79.0,23.0,250601.0,out_for_season
1.9402081965825805e+18,ChrisBHaynes,Wed Jul 02 00:37:36 +0000 2025,Memphis Grizzlies star Jaren Jackson Jr. sustained a turf toe injury while playing off-site of the team’s facility and will require a surgical procedure. No recovery timeline established yet.,https://x.com/ChrisBHaynes/status/1940208196582580459,,364.0,206.0,1160867.0,out_for_season
1.9462898947472305e+18,RotoWireNBA,Fri Jul 18 19:24:05 +0000 2025,Derik Queen: Undergoes wrist surgery https://t.co/NezIvtzBM2,https://x.com/RotoWireNBA/status/1946289894747230474,,,,1067.0,out_for_season
1.9499615937623247e+18,MarcJSpears,Mon Jul 28 22:34:07 +0000 2025,Chris Paul @LAClippers presser is about to start. https://t.co/HjWJ9qGFVm,https://x.com/MarcJSpears/status/1949961593762324837,,13.0,3.0,21386.0,out_for_season
1.941908333423682e+18,InStreetClothes,Sun Jul 06 17:13:20 +0000 2025,"Kyrie's comments reenforce that recovery, especially for a major injury, is fluid & comes w/ a subjective component from the athlete. Average time lost for ACL tears in the NBA is ~11 months but he shouldn't return until he's physically & mentally ready. I think he is smart to temper expectations.",https://x.com/InStreetClothes/status/1941908333423681940,,23.0,4.0,47618.0,out_for_season
1.9404436592851725e+18,InStreetClothes,Wed Jul 02 16:13:14 +0000 2025,The thought of Tatum and Lillard rehabbing their Achilles tears together on the same team is certainly interesting.,https://x.com/InStreetClothes/status/1940443659285172388,,6.0,1.0,11978.0,out_for_season
1.9402164214533734e+18,InStreetClothes,Wed Jul 02 01:10:17 +0000 2025,"Jalen Williams Injury News: The OKC star needed surgery to fix a torn scapholunate ligament in his  wrist. Other players to suffer the injury include Bradley Beal, Jaylen Brown, &amp; Brandon Miller (earlier this year).  It's a long recovery that could carry over into training camp.",https://x.com/InStreetClothes/status/1940216421453373520,,4.0,2.0,6097.0,out_for_season
